label,node,genus,species,scientificname.y,virus_name,vtaxid,interaction,uid,mostaxid,virus_code
Anopheles_atroparvus,89,Anopheles,atroparvus,Anopheles atroparvus,NA,NA,0,41427,41427,NA
Anopheles_maculipennis,90,Anopheles,maculipennis,Anopheles maculipennis,NA,NA,0,82858,82858,NA
Anopheles_pulcherrimus,91,Anopheles,pulcherrimus,Anopheles pulcherrimus,NA,NA,0,159154,159154,NA
Anopheles_stephensi,92,Anopheles,stephensi,Anopheles stephensi,NA,NA,0,30069,30069,NA
Anopheles_cinereus,93,Anopheles,cinereus,Anopheles cinereus,NA,NA,0,1632206,1632206,NA
Anopheles_claviger,94,Anopheles,claviger,Anopheles claviger,NA,NA,0,120868,120868,NA
Anopheles_hyrcanus,95,Anopheles,hyrcanus,Anopheles hyrcanus,NA,NA,0,138534,138534,NA
Anopheles_coustani,96,Anopheles,coustani,Anopheles coustani,NA,NA,0,139045,139045,NA
Anopheles_ziemanni,97,Anopheles,ziemanni,Anopheles ziemanni,NA,NA,0,345580,345580,NA
Anopheles_tenebrosus,98,Anopheles,tenebrosus,Anopheles tenebrosus,NA,NA,0,345579,345579,NA
Anopheles_plumbeus,99,Anopheles,plumbeus,Anopheles plumbeus,NA,NA,0,227531,227531,NA
Uranotaenia_balfouri,100,Uranotaenia,balfouri,Uranotaenia balfouri,NA,NA,0,1551375,1551375,NA
Anopheles_algeriensis,101,Anopheles,algeriensis,Anopheles algeriensis,NA,NA,0,1411912,1411912,NA
Culex_impudicus,102,Culex,impudicus,Culex impudicus,West Nile virus,11082,1,1464560,1464560,WNV
Culex_martinii,103,Culex,martinii,Culex martinii,NA,NA,0,2306907,2306907,NA
Culex_europaeus,104,Culex,europaeus,Culex europaeus,West Nile virus,11082,1,1464558,1464558,WNV
Culex_territans,105,Culex,territans,Culex territans,Japanese encephalitis virus,11072,1,42431,42431,JEV
Culex_territans,105,Culex,territans,Culex territans,Saint Louis encephalitis virus,11080,1,42431,42431,SLEV
Culex_territans,105,Culex,territans,Culex territans,West Nile virus,11082,1,42431,42431,WNV
Culex_hortensis,106,Culex,hortensis,Culex hortensis,West Nile virus,11082,1,1464559,1464559,WNV
Culex_deserticola,107,Culex,deserticola,Culex deserticola,West Nile virus,11082,1,1795353,1795353,WNV
