"","label","node","genus","species","scientificname.y","virus_name","vtaxid","interaction","uid","mostaxid","virus_code"
"118","Ochlerotatus_hexodontus",57,"Ochlerotatus","hexodontus","Ochlerotatus hexodontus",NA,NA,NA,767797,767797,NA
"119","Ochlerotatus_berlandi",58,"Ochlerotatus","berlandi","Ochlerotatus berlandi",NA,NA,NA,2579877,2579877,NA
"120","Aedes_koreicus",59,"Aedes","koreicus","Aedes koreicus","Japanese encephalitis virus",11072,1,586676,586676,"JEV"
"121","Aedes_geniculatus",60,"Aedes","geniculatus","Aedes geniculatus","Japanese encephalitis virus",11072,1,120874,120874,"JEV"
"122","Aedes_geniculatus",60,"Aedes","geniculatus","Aedes geniculatus","West Nile virus",11082,1,120874,120874,"WNV"
"123","Ochlerotatus_flavescens",61,"Ochlerotatus","flavescens","Ochlerotatus flavescens","West Nile virus",11082,1,662894,662894,"WNV"
"124","Ochlerotatus_riparius",62,"Ochlerotatus","riparius","Ochlerotatus riparius",NA,NA,NA,743694,743694,NA
"125","Ochlerotatus_euedes",63,"Ochlerotatus","euedes","Ochlerotatus euedes",NA,NA,NA,743690,743690,NA
"126","Ochlerotatus_annulipes",64,"Ochlerotatus","annulipes","Ochlerotatus annulipes","Japanese encephalitis virus",11072,1,866103,866103,"JEV"
"127","Ochlerotatus_annulipes",64,"Ochlerotatus","annulipes","Ochlerotatus annulipes","West Nile virus",11082,1,866103,866103,"WNV"
"128","Ochlerotatus_cantans",65,"Ochlerotatus","cantans","Ochlerotatus cantans","Japanese encephalitis virus",11072,1,120869,120869,"JEV"
"129","Ochlerotatus_cantans",65,"Ochlerotatus","cantans","Ochlerotatus cantans","West Nile virus",11082,1,120869,120869,"WNV"
"130","Ochlerotatus_excrucians",66,"Ochlerotatus","excrucians","Ochlerotatus excrucians","Japanese encephalitis virus",11072,1,329103,329103,"JEV"
"131","Ochlerotatus_excrucians",66,"Ochlerotatus","excrucians","Ochlerotatus excrucians","West Nile virus",11082,1,329103,329103,"WNV"
"132","Ochlerotatus_detritus",67,"Ochlerotatus","detritus","Ochlerotatus detritus","Japanese encephalitis virus",11072,1,120873,120873,"JEV"
"133","Ochlerotatus_detritus",67,"Ochlerotatus","detritus","Ochlerotatus detritus","West Nile virus",11082,1,120873,120873,"WNV"
"134","Ochlerotatus_pulcritarsis",68,"Ochlerotatus","pulcritarsis","Ochlerotatus pulcritarsis",NA,NA,NA,1529939,1529939,NA
"135","Ochlerotatus_hungaricus",69,"Ochlerotatus","hungaricus","Ochlerotatus hungaricus",NA,NA,NA,1810856,1810856,NA
"136","Ochlerotatus_pullatus",70,"Ochlerotatus","pullatus","Ochlerotatus pullatus","West Nile virus",11082,1,120876,120876,"WNV"
